Nr,Instrument (nume scurt),URL oficial,Piata,Data verificarii,Metoda
81,Glasgow-Blatchford,https://mediately.co/ro/tools/GlasgowBlatchford,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
82,Geneva revizuit,https://mediately.co/ro/tools/GenevaRevised,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
83,"Maddrey, GAHS și Lille",https://mediately.co/ro/tools/MaddreyGAHSLille,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
84,MELD și MELD-Na,https://mediately.co/ro/tools/MELD,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
85,NAPSI,https://mediately.co/ro/tools/NAPSI,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
86,sPESI,https://mediately.co/ro/tools/SPESI,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
87,SCORAD,https://mediately.co/ro/tools/SCORAD,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
88,SCORE2-Diabetes,https://mediately.co/ro/tools/SCORE2Diabetes,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
89,Alvarado,https://mediately.co/ro/tools/AlvaradoScore,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
90,APGAR,https://mediately.co/ro/tools/APGAR,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
91,Caprini,https://mediately.co/ro/tools/DVT,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
92,Centor / McIsaac,https://mediately.co/ro/tools/CentorScore,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
93,Child-Pugh,https://mediately.co/ro/tools/CHILD-PUGH,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
94,Padua,https://mediately.co/ro/tools/Padua,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
95,HEART,https://mediately.co/ro/tools/HEART,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
96,PERC,https://mediately.co/ro/tools/PERC,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
97,PSI/PORT,https://mediately.co/ro/tools/PSIPORT,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
98,SOFA,https://mediately.co/ro/tools/SOFA,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
99,"ELTS, Sokal și Hasford",https://mediately.co/ro/tools/ELTS,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
100,NFS și FIB-4,https://mediately.co/ro/tools/NAFLD,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
101,SES-CD,https://mediately.co/ro/tools/SES-CD,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
102,Risc osteoporoză SCORE,https://mediately.co/ro/tools/OsteoporosisSCORE,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
103,Stadializare Binet,https://mediately.co/ro/tools/BinetStagingCLL,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
104,Stadializare Rai,https://mediately.co/ro/tools/RaiStagingCLL,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
105,Colecție cancer pulmonar,https://mediately.co/ro/tools/LungCancerCorner,RO,2026-09-12,"Catalog web public; prezenta verificata, algoritmul nu a fost auditat"
